,name,volume,market_cap,floor_price,Avg_price,sales,assets,owners,owners_per
382,DeGods,Ethereum,433.22 ETH,36.61%,"74,478.36 ETH",8.9 ETH,8.6643 ETH,50,1.09%
383,CryptoPunks,Ethereum,369.61 ETH,506.42%,"638,729 ETH",54.49 ETH,52.8 ETH,7,73.26%
384,Nakamigos,Ethereum,311.26 ETH,20.48%,"5,556 ETH",0.298 ETH,0.4745 ETH,656,18.31%
385,Milady,Ethereum,281.47 ETH,26.82%,"40,695 ETH",3.25 ETH,3.1626 ETH,89,2.16%
386,PudgyPenguins,Ethereum,222.21 ETH,41.79%,"41,083.89 ETH",5.348 ETH,5.2908 ETH,42,0.21%
387,Beanz,Ethereum,150.23 ETH,33.17%,"25,841.24 ETH",1.37 ETH,1.5648 ETH,96,11.39%
388,Moonbirds,Ethereum,140.28 ETH,16.51%,"22,337 ETH",2.0189 ETH,2.004 ETH,70,1.01%
389,Captainz,Ethereum,109.67 ETH,22.76%,"78,006.2 ETH",8.55 ETH,7.8336 ETH,14,10.35%
390,CloneX,Ethereum,95.46 ETH,76.46%,"56,921.53 ETH",3.2 ETH,3.1819 ETH,30,5.89%
391,Art Blocks,Ethereum,94.25 ETH,189.89%,"221,769.4 ETH",2.5 ETH,1.8124 ETH,52,100.69%
392,Otherdeed,Ethereum,82.09 ETH,42.15%,"134,330 ETH",1 ETH,1.303 ETH,63,42.15%
393,TEST NFT,Ethereum,74.46 ETH,22.69%,"13,258 ETH",1.0799 ETH,1.095 ETH,68,5.73%
394,0xMahjong,Ethereum,72.91 ETH,275.80%,179.4 ETH,0.199 ETH,0.1381 ETH,528,16.73%
395,The Shards,Ethereum,10.06 ETH,1005.57%,"1,405.45 ETH",0.44 ETH,0.6288 ETH,16,38.20%
396,Genuine Undead,Ethereum,9.7789 ETH,32.90%,"1,393.86 ETH",0.1325 ETH,0.1811 ETH,54,18.05%
397,MONGS,Ethereum,9.7306 ETH,22.90%,"2,108.82 ETH",0.2295 ETH,0.2433 ETH,40,3.63%
398,Owlpha,Polygon,"18,702.86 MATIC",45.45%,"1,782,223.43 MATIC",409.33 MATIC,644.93 MATIC,29,25.38%
399,RSTLSS x Claire Silver,Ethereum,9.253 ETH,56.88%,461.16 ETH,0.119 ETH,0.2804 ETH,33,37.21%
400,ENS,Ethereum,9.2138 ETH,0.82%,"460,101.5 ETH",--,0.05832 ETH,158,4.29%
401,SPACE ID .arb Name Service,Arbitrum,8.9901 ETH,233.38%,"17,535.49 ETH",0.0011 ETH,0.04913 ETH,183,107.68%
402,QQL Mint Pass,Ethereum,8.9272 ETH,12.61%,"2,984.31 ETH",6.66 ETH,4.4636 ETH,2,43.69%
403,The Plague,Ethereum,8.891 ETH,144.32%,"3,242.8 ETH",0.35 ETH,0.3293 ETH,27,18.56%
404,Wumbo Pass,Ethereum,8.881 ETH,169.12%,611.91 ETH,1.688 ETH,1.7762 ETH,5,7.65%
